Marca temporal;4. ¿En que rango de edad se encuentra?;5. Departamento de residencia:;1. ¿Es o alguna vez fue usted beneficiario de jóvenes en acción?;2. ¿Durante cuantos años a recibido jóvenes en acción?;3. ¿Tenia conocimiento sobre la información del enunciado anterior?;4. ¿Logro usar este beneficio para continuar con su formación académica?;5. ¿En caso de haber logrado usar este beneficio cual fue el transito académico que realizo?;1. ¿Qué nivel académico estaba cursando cuando empezó a recibir jóvenes en acción?;2. ¿De cual de los siguientes niveles académicos se a graduado?;3. ¿En este momento estudia, trabaja o ambas?;4. ¿Cómo realizo su primer formación académica?;5. Si ya trabaja, ¿Cómo continua ahora su formación académica?
2023/07/05 10:21:53 a. m. GMT-5;26 - 28;Bogota;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Ambas;Presencial;A distancia
2023/07/05 10:24:48 a. m. GMT-5;16 - 18;Tolima ;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:31:09 a. m. GMT-5;22 - 25;Cundinamarca ;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/05 10:31:23 a. m. GMT-5;22 - 25;Tolima ;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Ambas;Presencial;A distancia
2023/07/05 10:31:35 a. m. GMT-5;26 - 28;Tolima;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:33:02 a. m. GMT-5;19 - 21;Tolima ;Sí. Actualmente soy beneficiario;2;Sí;Sí;Tecnólogo > Pregrado;Pregrado;Tecnología;Ambas;Presencial;A distancia
2023/07/05 10:33:27 a. m. GMT-5;22 - 25;HUILA;Si. Alguna vez fui beneficiario;5;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Ambas;Presencial;A distancia
2023/07/05 10:33:43 a. m. GMT-5;26 - 28;Tolima ;Sí. Actualmente soy beneficiario;1;No;Sí;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/05 10:35:46 a. m. GMT-5;26 - 28;BOGOTA DC;No. Nunca he sido beneficiario;1;Sí;Sí;No hice uso de este beneficio;Técnico;Técnico;Ambas;A distancia;A distancia
2023/07/05 10:35:46 a. m. GMT-5;26 - 28;Rovira tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Virtual;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:35:50 a. m. GMT-5;22 - 25;CUNDINAMARCA;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:36:44 a. m. GMT-5;19 - 21;Tolima ;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Pregrado;Tecnología;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:37:22 a. m. GMT-5;22 - 25;Antioquia ;Sí. Actualmente soy beneficiario;4;Sí;Sí;Tecnólogo > Pregrado;Tecnología;Tecnología;Estudiante;Presencial;A distancia
2023/07/05 10:37:33 a. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;1;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/05 10:38:02 a. m. GMT-5;26 - 28;Tolima ;Si. Alguna vez fui beneficiario;2;No;Sí;Técnico > Tecnología;Tecnología;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:40:19 a. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:41:27 a. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:51:03 a. m. GMT-5;26 - 28;Cundinamarca ;Si. Alguna vez fui beneficiario;1;No;No;No hice uso de este beneficio;Tecnología;Tecnología;Estudiante;Presencial;A distancia
2023/07/05 10:54:01 a. m. GMT-5;22 - 25;Atlántico ;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Tecnología;Tecnología;Ambas;Presencial;A distancia
2023/07/05 10:59:59 a. m. GMT-5;22 - 25;Tolima;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Técnico;Técnico;Ambas;A distancia;A distancia
2023/07/05 11:02:40 a. m. GMT-5;22 - 25;Valle del cauca ;Sí. Actualmente soy beneficiario;1;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 11:06:04 a. m. GMT-5;26 - 28;Antioquia ;Si. Alguna vez fui beneficiario;2;No;No;No hice uso de este beneficio;Tecnología;Tecnología;Ambas;A distancia;A distancia
2023/07/05 11:13:54 a. m. GMT-5;16 - 18;Tolima;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 11:21:59 a. m. GMT-5;22 - 25;tolima grande ;Sí. Actualmente soy beneficiario;2;No;Sí;Tecnólogo > Pregrado;Tecnología;Pregrado;Ambas;Presencial;A distancia
2023/07/05 11:27:46 a. m. GMT-5;22 - 25;Cundinamarca ;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 11:31:51 a. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;2;No;Sí;Técnico > Pregrado;Pregrado;Técnico;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 12:11:39 p. m. GMT-5;26 - 28;cundinamarca;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 12:23:16 p. m. GMT-5;22 - 25;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 12:24:06 p. m. GMT-5;22 - 25;Tolima ;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 12:37:49 p. m. GMT-5;26 - 28;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 1:22:30 p. m. GMT-5;19 - 21;;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 1:30:58 p. m. GMT-5;22 - 25;Popayan ;Sí. Actualmente soy beneficiario;2;No;Sí;Técnico > Pregrado;Técnico;Técnico;Ambas;Presencial;A distancia
2023/07/05 1:33:32 p. m. GMT-5;22 - 25;Valle del Cauca ;Sí. Actualmente soy beneficiario;2;Sí;Sí;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
